split,seed,p_value
random,43,9.537024226030174e-08
random,47,4.3880791429227055e-10
random,53,2.120411479319343e-09
random,59,3.518157850375509e-08
random,61,1.3962041600949037e-08
chronological,43,0.08817464794467386
chronological,47,0.8707787409560848
chronological,53,0.025128032190317194
chronological,59,0.0036930366149680186
chronological,61,0.01850902739156191
